kanji,meaning,readings
一,one,ichi/itsu/hito/hito-tsu
乙,the latter,otsu
九,nine,kyū/ku/kokono/kokono-tsu
七,seven,shichi/nana/nana-tsu
十,ten,jū/ji'/too/to
人,person,jin/nin/hito
丁,ward,chō/tei
刀,sword,tō/katana
二,two,ni/futa/futa-tsu
入,enter,nyū/i-ru/i-reru/hai-ru
八,eight,hachi/ya/ya-tsu/ya'-tsu
又,or again,mata
了,finish,ryō
力,power,ryoku/riki/chikara
下,below,ka/ge/shita/shimo/moto/sa-geru/sa-garu/kuda-ru/kuda-su/kuda-saru/o-rosu/o-riru
干,dry,kan/ho-su/hi-ru
丸,circle,gan/maru/maru-i/maru-meru
久,long time,kyū/hisa-shii
及,reach out,kyū/oyo-bu/oyo-bi/oyo-bosu
弓,"bow (archery, violin)",kyū/yumi
巾,towel,kin
己,self,ko/ki/onore
口,mouth,kō/ku/kuchi
工,craft,kō/ku
乞,beg,ko-u
才,genius,sai
三,three,san/mi/mi-tsu/mi'-tsu
山,mountain,san/yama
士,gentleman,shi
子,child,shi/su/ko
女,woman,jo/nyo/onna/me
小,small,shō/chii-sai/ko/o
上,up,jō/ue/kami/a-geru/a-garu/nobo-ru/nobo-seru/nobo-su
丈,length,jō/take
刃,blade,jin/ha
寸,measurement,sun
夕,evening,seki/yū
千,thousand,sen/chi
川,river,sen/kawa
大,large,dai/tai/oo/oo-kii/oo-ini
土,soil,do/to/tsuchi
亡,deceased,bō/na-i
凡,mediocre,bon
万,ten thousand,man/ban
与,give,yo/ata-eru
引,pull,in/hi-ku/hi-keru
円,"round, yen",en/maru-i
王,king,ō
化,change,ka/ke/ba-keru/ba-kasu
火,fire,ka/hi
牙,tusk,ga/kiba
介,jammed in,kai
刈,reap,ka-ru
牛,cow,gyū/ushi
凶,villain,kyō
斤,axe,kin
区,ward,ku
欠,lack,ketsu/ka-keru/ka-ku
月,"month, moon",getsu/gatsu/tsuki
犬,dog,ken/inu
元,origin,gen/gan/moto
幻,phantasm,gen/maboroshi
戸,door,ko/to
五,five,go/itsu/itsu-tsu
互,mutually,go/taga-i
午,noon,go
公,public,kō/ooyake
勾,capture,kō
孔,cavity,kō
今,now,kon/kin/ima
支,branch,shi/sasa-eru
止,stop,shi/to-maru/to-meru
氏,family name,shi/uji
尺,shaku,shaku
手,hand,shu/te
収,take in,shū/osa-meru/osa-maru
升,measuring box,shō/masu
少,few,shō/suku-nai/suko-shi
冗,superfluous,jō
心,heart,shin/kokoro
仁,humanity,jin
水,water,sui/mizu
井,well,sei/i
切,cut,setsu/ki-ru/ki-reru
双,pair,sō/futa
太,thick,tai/ta/futo-i/futo-ru
丹,cinnabar,tan
中,middle,chū/naka
弔,condolences,chō/tomura-u
爪,claw,tsume
天,heaven,ten/ame
斗,Big Dipper,to
屯,barracks,ton
内,inside,nai/uchi
匂,scent,nio-u
日,day,nichi/jitsu/hi/ka
反,anti-,han/so-ru/so-rasu
比,compare,hi/kura-beru
匹,equal,hitsu/hiki
不,non-,fu/bu
夫,husband,fu/otto
父,father,fu/chichi
仏,Buddha,butsu/hotoke
分,"part, minute of time",bun/fun/bu/wa-keru/wa-kareru/wa-karu/wa-katsu
文,writing,bun/mon/fumi
片,one-sided,hen/kata
方,direction,hō/kata
乏,scarce,bō/tobo-shii
木,tree,boku/moku/ki
毛,hair,mō/ke
厄,unlucky,yaku
友,friend,yū/tomo
予,in advance,yo
六,six,roku/mu/mu-tsu/mu'-tsu
圧,pressure,atsu
以,by means of,i
右,right (direction),u/yū/migi
永,eternity,ei/naga-i
凹,concave,ō
央,center,ō
加,add,ka/kuwa-eru/kuwa-waru
可,possible,ka
瓦,tile,ga/kawara
外,outside,gai/ge/soto/hoka/hazu-su/hazu-reru
且,moreover,ka-tsu
刊,publish,kan
甘,sweet,kan/ama-i/ama-eru/ama-yakasu
丘,hill,kyū/oka
旧,old times,kyū
去,leave,kyo/ko/sa-ru
巨,gigantic,kyo
玉,ball,gyoku/tama
句,phrase,ku
兄,older brother,kei/ani
穴,hole,ketsu/ana
玄,mysterious,gen
古,old,ko/furu-i/furu-su
功,achievement,kō
巧,adroit,kō/taku-mi
広,wide,kō/hiro-i/hiro-maru/hiro-meru/hiro-garu/hiro-geru
甲,armor,kō/kan
号,number,gō
込,crowded,ko-mu/ko-meru
左,left (direction),sa/hidari
冊,counter for books,satsu/saku
札,tag,satsu/fuda
皿,dish,sara
仕,do,shi/tsuka-eru
史,history,shi
司,director,shi
四,four,shi/yo/yo-tsu/yo'-tsu/yon
市,market,shi/ichi
矢,arrow,shi/ya
示,indicate,ji/shi/shime-su
�,scold,shitsu/shika-ru
失,lose,shitsu/ushina-u
写,copy,sha/utsu-su/utsu-ru
主,master,shu/nushi/omo
囚,captured,shū
汁,soup,jū/shiru
出,exit,shutsu/de-ru/da-su
処,dispose,sho
召,summon,shō/me-su
尻,buttocks,shiri
申,say,shin/mō-su
世,world,sei/se/yo
正,correct,sei/shō/tada-shii/tada-su/masa
生,life,sei/shō/i-kiru/i-kasu/i-keru/u-mareru/u-mu/o-u/ha-eru/ha-yasu/ki/nama
斥,reject,seki
石,stone,seki/ishi
仙,hermit,sen
占,fortune telling,sen/shi-meru/urana-u
他,other,ta/hoka
打,hit,da/u-tsu
代,substitute,dai/tai/ka-waru/ka-eru/yo/shiro
台,pedestal,dai/tai
旦,daybreak,tan/dan
庁,government office,chō
田,rice paddy,den/ta
奴,guy,do
冬,winter,tō/fuyu
凸,convex,totsu
丼,bowl of food,donburi
尼,nun,ni/ama
白,white,haku/byaku/shiro/shiro-i
半,half,han/naka-ba
氾,spread out,han
犯,crime,han/oka-su
皮,skin,hi/kawa
必,without fail,hitsu/kanara-zu
氷,ice,hyō/koori/hi
付,attach,fu/tsu-keru/tsu-ku
布,linen,fu/nuno
払,pay,futsu/hara-u
丙,third class,hei
平,flat,hei/byō/tai-ra/hira
辺,environs,hen/ata-ri/be
弁,valve,ben
母,mother,bo/haha
包,wrap,hō/tsutsu-mu
北,north,hoku/kita
本,book,hon/moto
末,end,matsu/batsu/sue
未,not yet,mi
民,people,min/tami
矛,halberd,mu/hoko
目,eye,moku/me
由,reason,yu/yū/yoshi
幼,infancy,yō/osana-i
用,use,yō/mochi-iru
立,stand up,ritsu/ta-tsu/ta-teru
令,orders,rei
礼,thanks,rei/rai
扱,handle,atsuka-u
安,cheap,an/yasu-i
衣,clothes,i/koromo
芋,potato,imo
印,mark,in/shirushi
因,cause,in/yo-ru
宇,eaves,u
羽,feather,u/ha/hane
汚,dirty,o/kega-su/kega-reru/kega-rawashii/yogo-su/yogo-reru/kitana-i
仮,temporary,ka/kari
回,times,kai/mawa-ru/mawa-su
灰,ashes,kai/hai
会,association,kai/e/a-u
各,each,kaku/onoono
汗,sweat,kan/ase
缶,tin can,kan
企,plan,ki/kuwada-teru
伎,deed,ki
危,dangerous,ki/abu-nai/aya-ui/aya-bumu
机,desk,ki/tsukue
気,feeling,ki/ke
吉,good luck,kichi/kitsu
休,rest,kyū/yasu-mu/yasu-maru/yasu-meru
吸,suck,kyū/su-u
朽,decay,kyū/ku-chiru
臼,mortar,kyū/usu
共,together,kyō/tomo
叫,shout,kyō/sake-bu
仰,face-up,gyō/ao-gu/oo-se
曲,musical composition,kyoku/ma-garu/ma-geru
刑,punish,kei
血,blood,ketsu/chi
件,affair,ken
交,mix,kō/maji-waru/maji-eru/ma-jiru/ma-zaru/ma-zeru/ka-u/ka-wasu
光,ray,kō/hika-ru/hikari
向,over there,kō/mu-ku/mu-keru/mu-kau/mu-kō
后,empress,kō
好,like,kō/kono-mu/su-ku
江,inlet,kō/e
考,think,kō/kanga-eru
行,go,kō/gyō/i-ku/yu-ku/okona-u
合,fit,gō/ga'/a-u/a-wasu/a-waseru
再,again,sai/futata-bi
在,exist,zai/a-ru
旨,delicious,shi/mune
死,death,shi/shi-nu
糸,thread,shi/ito
至,climax,shi/ita-ru
字,letter,ji/aza
寺,Buddhist temple,ji/tera
次,next,ji/shi/tsu-gu/tsugi
耳,ear,ji/mimi
自,oneself,ji/shi/mizuka-ra
式,style,shiki
芝,turf,shiba
守,protect,shu/mamo-ru/mo-ri
朱,vermilion,shu
州,state,shū/su
舟,boat,shū/fune
充,allot,jū/a-teru
旬,10-day period (of the month),jun
巡,patrol,jun/megu-ru
如,likeness,jo/nyo
匠,artisan,shō
色,color,shoku/shiki/iro
尽,exhaust,jin/tsu-kusu/tsu-kiru/tsu-kasu
迅,swift,jin
成,become,sei/na-ru/na-su
西,west,sei/sai/nishi
舌,tongue,zetsu/shita
先,previous,sen/saki
全,whole,zen/matta-ku/sube-te
壮,robust,sō
早,early,sō/haya-i/haya-maru/haya-meru
争,conflict,sō/araso-u
存,suppose,son/zon
多,many,ta/oo-i
宅,home,taku
団,group,dan
地,ground,chi/ji
池,pond,chi/ike
竹,bamboo,chiku/take
仲,relationship,chū/naka
虫,insect,chū/mushi
兆,"portent, trillion",chō/kiza-su/kiza-shi
伝,transmit,den/tsuta-waru/tsuta-eru/tsuta-u
吐,spit,to/ha-ku
灯,lamp,tō/hi
当,hit,tō/a-taru/a-teru
同,same,dō/ona-ji
弐,two (falsification prevention),ni
肉,meat,niku
任,responsibility,nin/maka-seru/maka-su
年,year,nen/toshi
肌,texture,hada
伐,fell,batsu
帆,sail,han/ho
汎,pan-,han
妃,queen,hi
百,hundred,hyaku
伏,prostrated,fuku/fu-seru/fu-su
米,rice,bei/mai/kome
忙,busy,bō/isoga-shii
朴,crude,boku
毎,every,mai
名,name,mei/myō/na
妄,delusion,mō/bō
有,have,yū/u/a-ru
羊,sheep,yō/hitsuji
吏,officer,ri
両,both,ryō
列,row,retsu
劣,inferiority,retsu/oto-ru
老,old man,rō/o-iru/fu-keru
亜,sub-,a
位,rank,i/kurai
囲,surround,i/kako-mu/kako-u
医,medicine,i
壱,one (falsification prevention),ichi
応,respond,ō/kota-eru
何,what,ka/nani
花,flower,ka/hana
我,ego,ga/ware/wa
快,cheerful,kai/kokoroyo-i
戒,commandment,kai/imashi-meru
改,reformation,kai/arata-meru/arata-maru
貝,shellfish,kai
角,angle,kaku/kado/tsuno
完,perfect,kan
肝,liver,kan/kimo
含,include,gan/fuku-mu/fuku-meru
岐,branch off,ki
希,hope,ki
忌,mourning,ki/i-mu/i-mawashii
汽,steam,ki
技,skill,gi/waza
却,instead,kyaku
求,request,kyū/moto-meru
究,research,kyū/kiwa-meru
狂,lunatic,kyō/kuru-u/kuru-oshii
局,office,kyoku
均,level,kin
近,near,kin/chika-i
吟,versify,gin
串,skewer,kushi
君,you,kun/kimi
形,shape,kei/gyō/kata/katachi
系,lineage,kei
芸,art,gei
迎,welcome,gei/muka-eru
決,decide,ketsu/ki-meru/ki-maru
見,see,ken/mi-ru/mi-eru/mi-seru
言,say,gen/gon/i-u/koto
呉,give,go
坑,pit,kō
孝,filial piety,kō
抗,confront,kō
攻,aggression,kō/se-meru
更,grow late,kō/sara/fu-keru/fu-kasu
克,overcome,koku
告,tell,koku/tsu-geru
谷,valley,koku/tani
困,become distressed,kon/koma-ru
佐,help,sa
沙,sand,sa
災,disaster,sai/wazawa-i
材,lumber,zai
作,make,saku/sa/tsuku-ru
伺,pay respects,shi/ukaga-u
志,intention,shi/kokoroza-su/kokorozashi
私,me,shi/watakushi/watashi
似,becoming,ji/ni-ru
&,child,ji
社,company,sha/yashiro
車,car,sha/kuruma
寿,longevity,ju/kotobuki
秀,excel,shū/hii-deru
住,dwelling,jū/su-mu/su-mau
初,first,sho/haji-me/haji-mete/hatsu/ui/so-meru
助,help,jo/tasu-keru/tasu-karu/suke
序,preface,jo
床,bed,shō/toko/yuka
抄,extract,shō
肖,resemblance,shō
条,clause,jō
状,form,jō
伸,lengthen,shin/no-biru/no-basu/no-beru
臣,retainer,shin/jin
芯,core,shin
身,body,shin/mi
辛,spicy,shin/kara-i
図,diagram,zu/to/haka-ru
吹,blow,sui/fu-ku
杉,cedar,sugi
声,voice,sei/koe
赤,red,seki/aka/aka-i/aka-ramu/aka-rameru
折,fold,setsu/o-ru/ori/o-reru
走,run,sō/hashi-ru
即,instant,soku
束,bundle,soku/taba
足,foot,soku/ashi/ta-riru/ta-ru/ta-su
村,village,son/mura
汰,luxury,ta
妥,gentle,da
対,opposite,tai/tsui
体,body,tai/tei/karada
択,choose,taku
沢,swamp,taku/sawa
但,however,tada-shi
男,male,dan/nan/otoko
沖,open sea,chū/oki
町,town,chō/machi
沈,sink,chin/shizu-mu/shizu-meru
低,low,tei/hiku-i/hiku-meru/hiku-maru
呈,display,tei
廷,courts,tei
弟,younger brother,tei/otōto
努,toil,do/tsuto-meru
投,throw,tō/na-geru
豆,beans,tō/mame
那,what,na
尿,urine,nyō
妊,pregnancy,nin
忍,endure,nin/shino-bu/shino-baseru
把,grasp,ha
売,sell,bai/u-ru/u-reru
伯,chief,haku
&,wheat,baku/mugi
抜,slip out,batsu/nu-ku/nu-keru/nu-kasu/nu-karu
伴,consort,han/ban/tomona-u
判,judge,han/ban
坂,slope,han/saka
阪,heights,han
否,negate,hi/ina
批,criticism,hi
尾,tail,bi/o
肘,elbow,hiji
扶,aid,fu
兵,soldier,hei/hyō
別,separate,betsu/waka-reru
返,return,hen/kae-su/kae-ru
芳,perfume,hō/kanba-shii
邦,home country,hō
坊,boy,bō
妨,disturb,bō/samata-geru
忘,forget,bō/wasu-reru
防,prevent,bō/fuse-gu
没,drown,botsu
妙,exquisite,myō
冶,melting,ya
役,service,yaku/eki
余,leave over,yo/ama-ru/ama-su
妖,bewitching,yō/aya-shii
抑,repress,yoku/osa-eru
沃,fertility,yoku
来,come,rai/ku-ru/kita-ru/kita-su
乱,riot,ran/mida-reru/mida-su
卵,egg,ran/tamago
利,profit,ri/ki-ku
里,village,ri/sato
良,good,ryō/yo-i
冷,cool,rei/tsume-tai/hi-eru/hi-ya/hi-yasu/hi-yakasu/sa-meru/sa-masu
励,encourage,rei/hage-mu/hage-masu
戻,re-,rei/modo-su/modo-ru
呂,spine,ro
労,labour,rō
弄,tamper with,rō/moteaso-bu
宛,allocate,a-teru
依,reliant,i
委,committee,i/yuda-neru
育,nurture,iku/soda-tsu/soda-teru/haguku-mu
雨,rain,u/ame
泳,swim,ei/oyo-gu
英,England,ei
易,easy,eki/i/yasa-shii
延,prolong,en/no-biru/no-beru/no-basu
沿,run alongside,en/so-u
炎,inflammation,en/honoo
往,outward journey,ō
押,push,ō/o-su/o-saeru
旺,flourishing,ō
欧,Europe,ō
殴,assault,ō/nagu-ru
岡,hill,
佳,excellent,ka
価,value,ka/atai
果,fruit,ka/ha-tasu/ha-teru/ha-te
河,river,ka/kawa
苛,torment,ka
画,tableau,ga/kaku
芽,bud,ga/me
怪,suspicious,kai/aya-shii/aya-shimu
拐,kidnap,kai
劾,censure,gai
拡,broaden,kaku
学,study,gaku/mana-bu
岳,point,gaku/take
官,government official,kan
岸,beach,gan/kishi
岩,boulder,gan/iwa
玩,trifle with,gan
奇,strange,ki
祈,pray,ki/ino-ru
季,seasons,ki
宜,best regards,gi
泣,cry,kyū/na-ku
居,reside,kyo/i-ru
拒,repel,kyo/koba-mu
拠,foothold,kyo/ko
京,capital,kyō/kei
享,receive,kyō
供,offer,kyō/sona-eru/tomo
協,cooperation,kyō
況,condition,kyō
金,gold,kin/kon/kane
苦,suffer,ku/kuru-shii/kuru-shimu/kuru-shimeru/niga-i/niga-ru
具,tool,gu
空,sky,kū/sora/a-ku/a-keru/kara
屈,yield,kutsu
径,diameter,kei
茎,stalk,kei/kuki
券,ticket,ken
肩,shoulder,ken/kata
弦,bowstring,gen/tsuru
呼,call,ko/yo-bu
固,hard,ko/kata-meru/kata-maru/kata-i
股,crotch,ko/mata
虎,tiger,ko/tora
効,effect,kō/ki-ku
幸,happiness,kō/saiwa-i/sachi/shiawa-se
拘,arrest,kō
肯,agreement,kō
刻,engrave,koku/kiza-mu
国,country,koku/kuni
昆,descendants,kon
妻,wife,sai/tsuma
采,form,sai
刷,printing,satsu/su-ru
刹,temple,satsu/setsu
参,participate,san/mai-ru
使,use,shi/tsuka-u
刺,thorn,shi/sa-su/sa-saru
始,begin,shi/haji-meru/haji-maru
姉,older sister,shi/ane
枝,branch,shi/eda
祉,welfare,shi
肢,limb,shi
事,abstract thing,ji/koto
侍,waiter,ji/samurai
治,govern,ji/chi/osa-meru/osa-maru/nao-ru/nao-su
実,truth,jitsu/mi/mino-ru
&,cottage,sha
者,someone,sha/mono
邪,wicked,ja
若,young,jaku/waka-i/mo-shikuha
取,take,shu/to-ru
受,accept,ju/u-keru/u-karu
呪,curse,ju/noro-u
周,circumference,shū/mawa-ri
宗,religion,shū/sō
叔,uncle,shuku
述,mention,jutsu/no-beru
所,place,sho/tokoro
尚,esteem,shō
招,beckon,shō/mane-ku
承,acquiesce,shō/uketamawa-ru
昇,rise up,shō/nobo-ru
松,pine,shō/matsu
沼,marsh,shō/numa
垂,droop,sui/ta-reru/ta-rasu
炊,cook,sui/ta-ku
枢,hinge,sū
制,control,sei
姓,surname,sei/shō
征,subjugate,sei
性,gender,sei/shō
青,blue,sei/ao/ao-i
斉,adjusted,sei
昔,long ago,seki/mukashi
析,chop,seki
拙,bungling,setsu/tsutana-i
狙,aim at,so/near-u
阻,thwart,so/haba-mu
卒,graduate,sotsu
卓,eminent,taku
拓,clear (the land),taku
担,shouldering,tan/katsu-gu/nina-u
知,know,chi/shi-ru
宙,mid-air,chū
忠,loyalty,chū
抽,pluck,chū
注,pour,chū/soso-gu
長,long,chō/naga-i
直,straight,choku/jiki/tada-chini/nao-su/nao-ru
坪,two-mat area,tsubo
定,decide,tei/jō/sada-meru/sada-maru/sada-ka
底,bottom,tei/soko
抵,resist,tei
邸,residence,tei
泥,mud,dei/doro
的,target,teki/mato
迭,transfer,tetsu
典,code,ten
店,shop,ten/mise
妬,jealousy,to/neta-mu
東,east,tō/higashi
到,arrival,tō
毒,poison,doku
突,stab,totsu/tsu-ku
届,deliver,todo-keru/todo-ku
奈,what,na
乳,milk,nyū/chichi/chi
念,thought,nen
波,wave,ha/nami
拝,worship,hai/oga-mu
杯,counter for cupfuls,hai/sakazuki
拍,clap,haku
泊,overnight,haku/to-maru/to-meru
迫,urge,haku/sema-ru
板,board,han/ban/ita
版,printing block,han
彼,he,hi/kare
披,expose,hi
肥,fertilizer,hi/ko-eru/koe/ko-yasu/ko-yashi
非,negative,hi
泌,ooze,hitsu/hi
表,express,hyō/omote/arawa-su/arawa-reru
苗,seedling,byō/nae
府,urban prefecture,fu
怖,dreadful,fu/kowa-i
阜,mound,
附,affixed,fu
侮,scorn,bu/anado-ru
武,military,bu/mu
服,clothes,fuku
沸,seethe,futsu/wa-ku/wa-kasu
物,thing,butsu/motsu/mono
併,join,hei/awa-seru
並,line-up,hei/nami/nara-beru/nara-bu/nara-bini
歩,walk,ho/bu/aru-ku/ayu-mu
奉,observance,hō/tatematsu-ru
宝,treasure,hō/takara
抱,embrace,hō/da-ku/ida-ku/kaka-eru
放,release,hō/hana-su/hana-tsu/hana-reru/hō-ru
法,method,hō
泡,bubbles,hō/awa
房,tassel,bō/fusa
肪,obese,bō
牧,breed,boku/maki
奔,bustle,hon
妹,younger sister,mai/imōto
枚,sheet of...,mai
枕,pillow,makura
抹,rub,matsu
味,flavor,mi/aji/aji-wau
岬,headland,misaki
命,fate,mei/myō/inochi
明,bright,mei/myō/a-kari/aka-rui/aka-rumu/aka-ramu/aki-raka/a-keru/a-ku/a-kuru/a-kasu
免,excuse,men/manuka-reru
茂,overgrown,mo/shige-ru
盲,blind,mō
門,gates,mon/kado
夜,night,ya/yo/yoru
弥,all the more,ya
油,oil,yu/abura
拉,crush,ra
林,woods,rin/hayashi
例,example,rei/tato-eru
炉,hearth,ro
和,peace,wa/yawa-ragu/yawa-rageru/nago-mu/nago-yaka
枠,frame,waku
哀,pathetic,ai/awa-re/awa-remu
威,intimidate,i
為,do,i
畏,fear,i/oso-reru
胃,stomach,i
茨,thorn,
咽,throat,in
姻,matrimony,in
映,reflect,ei/utsu-ru/utsu-su/ha-eru
栄,prosperity,ei/saka-eru/ha-e/ha-eru
疫,epidemic,eki
怨,grudge,en/on
屋,roof,oku/ya
卸,wholesale,oro-su/oroshi
音,sound,on/in/oto/ne
