亠人,劾該骸核峡挟狭賛爽卒替
亠儿,充銃商統魅
亠ハ,顔壌嬢譲醸籍妹昧抹末味未魅冥恋六
亠冂,円骸柿稿高商嫡摘敵滴適
亠冖,骸豪亭停帝締諦傍冥
亠几,坑抗航
亠凵,棄璃離
亠刀,喫契潔
亠十,幸執新薪親卒嫡摘敵滴適報率
亠厶,育棄裁充銃徹撤統流硫
亠九,執塾熟
亠口,哀影害郭割轄喫享京景鯨稿高豪就蹴塾熟商跡壇嫡亭停摘敵滴適難褒味硫涼憬
亠土,害割轄喫契潔憲坑債裁執塾壌情晴清精請青静積籍績責素壇鋳漬毒報
亠大,喫峡挟狭契賛替難
亠女,姉嬢嫡妹妄
亠子,郭享塾熟
亠宀,害割轄憲
亠小,影京景鯨就蹴褒涼憬
亠川,慌流硫
亠巾,柿姉市帝締諦肺
亠幺,弦玄舷畜蓄率
亠心,憲忘恋
亠攵,液敵徹撤
亠日,影景晴籍替壇昧冥憬
亠月,育骸情晴清精請青静徹撤肺
亠木,柿核棄校新薪親籍妹昧抹末味未魅来
亠父,較交効校絞郊
亠田,鯨畝畜蓄魅
亠立,顔幸産執商新薪親嫡帝締諦摘敵滴適報傍
亠糸,潔絞績素締統
亠言,該譲請諦
亠貝,顔債賛積績責漬
亠辛,幸執新薪親報
亠隹,難擁離
人冂,骸内肉納病丙柄
人口,倹剣検険験咲
人土,渓鶏潜秩
人大,快関峡挟狭鶏決券圏咲賛失勝替秩朕夫扶俸奉棒
人月,骸勝朕
人木,核検柄棒
儿冂,隔喚換商融
儿冖,冠輝深続探党読売
儿冫,兆挑眺跳桃逃
儿力,勘勢勉
儿勹,逸喚換免
儿匕,塊鬼虎魂醜窃魔魅
儿匚,勘堪匹
儿十,暁克焼
儿厶,塊鬼魂唆酸充銃俊窓窒統
儿九,究勢熱
儿口,鋭悦閲隔喚競況兄克唆呪祝商税説脱跳党免融
儿土,塊堪境勢先洗窒熱睦陸陵
儿士,続読売
儿夂,唆酸俊陵
儿大,喚換突
儿宀,院完究窮空窟控搾窃窓窒突窯
儿阡,院隔陸陵
儿日,境鏡暁児晩
儿木,深探桃魔魅
儿甘,勘堪甚
儿田,塊界鬼魂醜魔魅
儿目,見眺睦
儿穴,究窮空窟控搾窃窓窒突窯
儿立,競境鏡商
儿金,鋭鏡銃
ハ冂,興策刺璽
ハ刀,寡頒貧分紛雰盆
ハ十,慎真鎮
ハ厶,翁公松訟総
ハ口,沿鉛興虞呉娯碁誤船束速俗谷味裕容溶欲浴頼
ハ土,基耕塞壌籍戴塗塀
ハ女,嫌娯嬢妹
ハ宀,演寡寒穴塞容溶
ハヨ,鎌兼嫌謙廉
ハ心,恭総恋
ハ日,横籍典爆暴昧冥練錬
ハ木,横棋耕策刺朱殊珠松籍束速塗途妹昧抹末味未魅耗頼練錬
ハ牛,朱殊珠
ハ王,鎌璽珠全
ハ井,異寒恭港耕爆暴翼
ハ甘,基旗期棋欺
ハ田,異演横黄戴魅翼練錬
ハ目,貝具慎真鎮惧
ハ糸,総紛練
ハ耒,耕籍耗
ハ衣,壌嬢譲醸
ハ言,謙誤訟譲
ハ金,鉛鎌鎮錬
ハ頁,顔頒頼
冂冖,骸滑骨
冂十,献構溝講購嫡摘敵滴適南
冂厶,愚偶遇隅
冂口,渦禍過隔喚橋矯興向稿高嗣周週商尚嫡彫調摘敵滴適筒同洞胴銅鍋融
冂土,周週彫調
冂大,奥喚換矯
冂山,岡綱鋼剛満両
冂戸,偏編遍
冂攵,敵幣弊蔽
冂月,骸滑骨胴
冂木,柿橋構柵策刺柄
冂田,愚偶遇隅
冂立,商嫡摘敵滴適
冂糸,綱納編繭網
冂虫,風繭融
冂金,鋼銅鍋
冖又,受授侵寝浸
冖口,営豪償掌賞常亭停党堂
冖士,壱殻穀続読売
冖夂,愛慶優憂曖
冖巾,帰常掃帯滞帝締諦婦
冖ヨ,帰侵寝浸掃婦彙
冖心,愛慶優憂曖
冖月,骸滑骨髄
冖木,栄深探枕彙鬱
冖爪,愛受授瞬曖
冖立,帝締諦傍
冖糸,索続締
冖車,運揮輝軍
冫口,諮跳冶
冫木,楽凍桃薬
冫欠,茨姿諮資次盗恣
冫田,凍翻翼塁
刀厶,貿留瑠
刀口,拐喫召招昭沼照紹詔超
刀土,喫契潔超
刀大,喫契券
刀糸,潔紹紛
刀貝,頒貧貿
力口,加架賀勤勅別
力日,勲働動募
力月,脅筋勝脇
力田,勲男勇湧虜
勹匕,謁喝渇葛褐掲匂
勹口,艶顎喝喚驚句駒敬警拘号象像砲免
勹大,喚換誇衡
勹已,包抱泡砲胞飽
勹ヨ,急浄静争
勹攵,驚敬警
勹日,易謁艶喝渇葛褐陥掲旬殉瘍
勹月,角胸静胞
勹言,謁警誇
匕卜,戯虐虚虞劇虎膚慮虜
匕厂,戯虐虚虞劇虎膚慮虜
匕厶,塊鬼熊魂態能罷
匕マ,擬疑凝
匕口,喝虞叱
匕日,謁喝渇葛褐掲稽詣指旨脂
匕月,熊脂態能背罷膚
匕木,魔魅鬱
匕田,塊鬼魂醜膚魔魅慮虜
匕疋,擬疑凝
匕矢,擬疑凝
匕虍,戯虐虚虞劇虎膚慮虜
匕貝,貨傾頃
十又,伎岐技鼓支枝肢報
十九,砕執粋酔枠摯
十口,箇革括活韓居叫苦個古固故枯湖鼓克砕辞据裾嫡衷潰摘敵滴適碑避噴壁癖舗膨哺嘲璧辣錮
十囗,箇個固錮
十土,壊執墳壁舗報膨
十寸,専博薄縛簿
十尸,居据裾避壁癖璧
十廾,革暁升昇奔
十彳,術循徳
十阡,降障阜
十心,聴徳穂
十攵,故敵敷
十日,乾幹韓暁彰昇章障挿早草卓朝潮悼嘲
十月,湖肢朝潮膨嘲
十木,枯構枝術述植新薪親枠辣
十用,浦舗捕補哺
十田,専戦禅挿単弾博薄縛畔卑碑敷穂簿
十目,循盾植殖慎真値置直鎮
十立,幸宰辞執彰章障新薪親辛嫡摘敵滴適避壁癖報摯璧辣
十糸,糾索縛
十舌,括活辞
十衣,壊懐衷
十言,許計講
十貝,購賊潰噴墳憤
十金,針鎮錮
十音,彰章障
卜厂,戯虐虚虞劇虎膚慮虜
卜又,寂叔淑督
卜口,虞占店貼点粘
卜小,寂叔淑戚督
卜田,膚慮虜
卜虍,戯虐虚虞劇虎膚慮虜
卜貝,偵貞貼
卩土,却脚報
卩夕,宛怨腕
卩月,脚服腕
卩止,卸御齢
厂又,仮坂阪反板版販飯返
厂口,虞后唇
厂土,圧崖涯坂班
厂小,願原源
厂山,崖岸炭
厂斤,后循盾栃派脈励
厂日,厚濃農暦
厂木,栃板暦歴
厂田,膚慮虜
厂白,願原源
厂虍,戯虐虚虞劇虎膚慮虜
厂衣,辱唇娠振震濃農
厂貝,顔願販
厂辰,辱唇娠振震濃農
厶口,唆始治怠胎台冶硫
厶土,握屋塊蓋却脚去裁至室致窒倒到法緻
厶夂,唆酸俊
厶宀,室窓窒
厶广,拡広鉱
厶心,愚窓総怠態
厶攵,致徹撤緻
厶月,育脚熊態胎徹撤能罷
厶田,塊鬼愚偶遇隅魂留瑠
厶糸,絵総統緻
又口,極鼓破
又土,怪径経茎軽堅坂趣報
又女,努奴怒婆媛
又小,寂叔淑督
又ヨ,侵寝浸
又日,暇最撮捜暖慢漫
又月,肢腎服
又木,極桑枝板
又爪,援受授暖媛
又耳,最撮取趣
又臣,緊堅賢腎
又隹,獲穫護隻
マ用,痛通踊
マ疋,擬疑凝
マ矢,擬疑凝
九口,砕塾熟
九土,執塾勢熱
九木,雑染枠
乃禾,秀透誘
口土,域園猿遠塩害嚇割轄喫僅勤謹告酷埼舎捨樹周週塾造壇彫調超吐塔堂培壁舗膨
口士,喜吉詰結鼓
口夂,各格閣額客驚警唆絡落酪略賂路露
口大,椅咽喚漢器奇寄騎喫矯咲崎埼難嗅
口女,娯始嫡妬如
口子,郭享塾熟
口宀,害確額割轄官棺管館寄客宮富容溶踪
口寸,樹尋闘
口小,影京景鯨砂就蹴褒涼憬
口尸,居局嘱据裾避壁癖璧
口巾,師常帥幅
口广,店唐糖磨
口ヨ,事尋唐躍
口彡,影彫膨
口邦,郭郡部
口阡,隔険陪
口心,悪患感憾憩怠忠惑
口戈,域感憾減惑
口攵,各驚啓敬警故整敵
口日,韻影艶喝韓君景硬唱昭照壇踏豊嘲憬
口月,絹湖硝膳胎脱胴膨喩嘲
口木,椅架格棺橋極繰検枯樹整疎礎操燥藻束速勅保磨味頼辣
口欠,歌諮吹欲
口止,整跡疎
口王,環群聖善繕膳呈程璧
口用,舗踊哺
口田,鯨獣碑富副幅福略
口矢,矯喉短知痴
口禾,稿税程和
口立,韻競辞商嫡摘敵滴適倍培賠陪避部壁癖剖璧辣
口竹,箇管答筒
口糸,緯給繰結絹紹繕絡
口羊,群善繕膳
口衣,哀園猿遠環還唇喪衷褒
口言,詰謹警語誤詞諮詔説諾調話
口豕,豪象像
口貝,遺員韻唄賀額顎貴償賞損潰貼頭賠噴頼賂
口辛,辞避壁癖璧辣
口金,鋭鉛銅鍋銘錮
口門,閲閣闘問
口隹,確礁難躍唯
口頁,額顎頭頼
口馬,騎驚駒験
口韋,偉緯違衛韓
囗大,咽因姻恩圏
土大,規喫契鶏埼秩墓
土宀,害割轄憲塞室窒
土寸,詩侍寺持時樹待鋳等特封
土尸,握屋塀壁堀
土彳,街径待徒
土阡,堕墜陛陸陵
土戈,域越栽裁載城繊戴
土攵,赦致傲緻
土日,垣境時場晴籍潜増壇堤墓
土月,脚情晴清精請青静塑堕膨
土木,耕栽樹籍塗
土爪,渓鶏墾
土田,塊増戴塁
土立,境執培壁報
土糸,経潔績繊素緻
土衣,園猿遠壊裁壌
土言,謹詩請調
土貝,債積績責漬墳
土車,轄軽載
土辛,執壁報
士爿,壮荘装
士王,淫廷任妊
士衣,装俵表
士言,詰誌読
夂彳,後復覆履
夂阡,降隆陵
夂心,愛慶優悠憂曖
夂日,復腹複覆履曖
夂爪,愛緩曖
夂糸,緩終縫絡
夕舛,傑瞬舞隣
大宀,寄実突
大已,巻圏遷
大心,恩添慕
大日,映替漠募墓慕暮幕膜模
大月,勝朕膜
大木,椅棒模
大禾,笑奏秩
大隹,奪難奮
女宀,安案宴嫁
女ヨ,嫌妻凄婦
女木,案桜媒妹楼
宀小,寂賓寮
宀山,窟崇密
宀心,憲窓寧密蜜
宀日,宴宣宙寮
宀田,演審宙富
宀疋,錠綻定
宀示,察擦宗崇踪
宀豕,嫁家稼
宀貝,額貯賓
寸爪,爵奨将
寸田,専博薄縛簿
寸竹,等符簿
寸言,詩謝討
寸酉,遵尊酎
小日,影景隙僚寮療瞭憬
小止,歳渉捗頻歩
小白,願原源
小目,懸県省督瞭
小貝,願賓頻
尸山,屈掘窟堀
尸日,層昼届履
尸立,避壁癖璧
尸辛,避壁癖璧
山彳,徴懲微
山攵,徴懲微
工弋,試式拭
巾ヨ,帰掃婦
巾攵,幣弊蔽
巾木,柿策刺
巾立,帝締諦
幺戈,幾機畿
幺田,畿畜蓄
广ヨ,康唐庸廉
广木,床摩磨魔麻暦歴麓
广比,鹿麗麓
廴王,庭廷艇
廴聿,健建鍵
廾文,済斎剤斉
廾日,横暁昇
ヨ心,隠穏急
ヨ水,康粛逮緑隷録
ヨ隶,康粛逮緑隷録
ヨ隹,濯躍曜
彡木,彩杉鬱
彳攵,徴懲徹微
彳日,衝得復覆履
彳王,往徴懲
邦艮,郷響廊郎
阡日,陥隅隙障陳陽
心戈,感憾惑
心日,意億憶臆慕曖
心月,臆態癒
心爪,愛穏懇曖
心田,愚恵思穂慮
心禾,穏愁秘穂
心立,意億憶臆
心自,憩息憂
心音,意億憶臆
戈手,我餓儀犠義議
戈日,識織職
戈木,械機栽
戈王,儀犠義議
戈田,畿戦戴
戈立,識織職
戈羊,儀犠義議
戈言,議識誠
戈音,識織職
戸冊,偏編遍
手王,儀犠義議
手羊,儀犠義議
攵方,激敷倣放傲
攵月,散徹撤
攵木,条整枚
斤木,新薪析栃
斤車,斬暫漸
日月,臆脂腫晴胆朝潮腸腹膜明盟嘲
日木,横梗籍槽陳凍東棟昧模薬欄暦練錬
日水,踏爆暴
日爪,稲暖曖
日勿,易賜傷場腸湯揚陽
日疋,是題堤提
日目,帽冒瞭
日禾,稲稽香種
日立,暗闇意韻億憶臆音境鏡響識彰章障織職
日竹,簡籍笛箸
日糸,緒織紳練
日耳,最撮職
日言,謁詣識諸譜
日貝,韻顕賜贈題賭
日里,種腫重衝動糧量
日金,鏡錯錬
日門,闇簡間欄
月水,腺藤膝
月立,臆襲籠
月言,請謄諭
木止,整疎歴
木水,漆膝様
木爪,彩採采菜
木牛,株朱殊珠
木王,業珠栓柱様
木甘,棋媒某謀
木田,横果菓課巣陳凍東棟魔魅裸欄練錬彙
木目,査植想相霜箱
木示,禁襟標
木立,新薪親辣
木竹,策籍築箱
木耒,業耕籍耗
木辛,新薪親辣
木隹,権雑集椎
木品,繰操燥藻
殳舟,搬般盤
比白,皆階楷諧
水白,泉線腺
水隶,康粛逮緑隷録
爪艮,墾懇爵
王言,議詳詮
田米,審藩番翻
田糸,細紳縄縛累練
田虍,膚慮虜
田釆,審藩番翻
疋矢,擬疑凝
癶示,祭際察擦
白糸,縮線綿
皿臣,監艦鑑濫藍
矢隹,勧歓観権
示西,標漂票
立貝,韻顔賠
立里,鐘憧瞳童
牙艮,慨概既
衣辰,辱唇娠振震濃農
